crop_name,Sowing_period,Harvesting_period,Growth_day,Predicted_yield_rate
Rice,June,Sept,4,2000
Rice,July,Oct,4,2000
Soybean,June,Oct,5,1264
Soybean,July,Nov,5,1264
Sweet_potato,July,Oct,4,800
Sweet_potato,Aug,Nov,4,800
Arhar,July,Dec,6,1359
Arhar,Aug,Jan,6,1359
Castor_seed,July,Feb,8,1064
Castor_seed,Aug,Mar,8,1064
Wheat,Oct,Feb,5,788
Wheat,Nov,Mar,5,788
Potato,Oct,Dec,3,1650
Potato,Dec,Feb,3,1650
Ratoi,Oct,Dec,3,1472
Ratoi,Nov,Jan,3,1472
Sarso,Oct,Dec,3,1800
Sarso,Nov,Jan,3,1800
Lineseed,Oct,Feb,5,1182
Lineseed,Nov,Mar,5,1182
Masoor,Oct,Feb,5,1259
Masoor,Nov,Mar,5,1259
Onion,Jan,Apr,4,115
Onion,Feb,May,4,115
Sugarcane,Jan,Feb,13,270
Sugarcane,Feb,Mar,13,270
Mung,Mar,June,4,1492
Til,Apr,July,4,1492
Ladies_Finger,Jan,Mar,3,1136
Ladies_Finger,Feb,Apr,3,1136
Ladies_Finger,June,Aug,3,1136
Ladies_Finger,Oct,Dec,3,1136
Pumpkin,Jan,Mar,3,756
Pumpkin,Feb,Apr,3,756
Pumpkin,July,Sept,3,756
Pumpkin,Oct,Dec,3,756
Coriander,Jan,Feb,2,1000
Coriander,Feb,Mar,2,1000
Coriander,Mar,Apr,2,1000
Coriander,Apr,May,2,1000
Coriander,May ,June,2,1000
Coriander,Aug,Sept,2,1000
Coriander,Oct,Nov,2,1000
